#mpa_v31_CHOCOPhlAn_201901
clade_name	T0101B.A	T0101B.B	T0101B.C	T0101B.D	T0101B.E	T0101B.F	T0101B.G	T0101B.H	T0101B.I	T0101B.J	T0108A.A	T0108A.B	T0108A.C	T0108A.D	T0108A.E	T0108A.F	T0108A.H	T0108A.I	T0108B.A	T0108B.B	T0108B.C	T0108B.D	T0108B.E	T0108B.F	T0108B.H	T0108B.I	T0108B.J	T0122A.B	T0122A.C	T0122A.D	T0122A.E	T0122A.F	T0122A.G	T0122A.H	T0122A.I	T0122A.J	T0122B.A	T0122B.B	T0122B.C	T0122B.D	T0122B.E	T0122B.F	T0122B.G	T0122B.H	T0122B.I	T0132A.B	T0132A.C	T0132A.D	T0132A.E	T0132A.F	T0132A.G	T0132A.H	T0132A.I	T0132A.J	T0132B.A	T0132B.B	T0132B.C	T0132B.D	T0132B.E	T0132B.F	T0132B.G	T0132B.H	T0132B.I	T0132B.J	T0143A.B	T0143A.C	T0143A.D	T0143A.E	T0143A.F	T0143A.G	T0143A.H	T0143A.I	T0160B.B	T0160B.C	T0160B.D	T0160B.E	T0160B.F	T0160B.G	T0160B.H	T0160B.I	T0160B.J	T0168A.A	T0168A.B	T0168A.C	T0168A.D	T0168A.E	T0168A.F	T0168A.G	T0168A.H	T0168A.I	T0168A.J	T0168A.K	T0171A.A	T0171A.B	T0171A.C	T0171A.D	T0171A.E	T0171A.F	T0171A.G	T0171A.H	T0171A.I	T0171A.J	T0171B.B	T0171B.C	T0171B.D	T0171B.E	T0171B.F	T0171B.G	T0171B.H	T0171B.I	T0171B.J	T0171B.K	T0180A.C	T0180A.D	T0180A.E	T0180A.F	T0180A.G	T0180A.I	T0180A.J	T0180A.K	T0180B.A	T0180B.B	T0180B.C	T0180B.D	T0180B.E	T0180B.F	T0180B.G	T0180B.I	T0180B.J	T0180B.K	T0181A.A	T0181A.B	T0181A.C	T0181A.D	T0181A.E	T0181A.F	T0181A.G	T0181A.H	T0181A.I	T0181A.J	T0181A.K	T0181B.A	T0181B.B	T0181B.C	T0181B.D	T0181B.E	T0181B.F	T0181B.G	T0181B.H	T0181B.I	T0181B.J	T0181B.K	T0185A.A	T0185A.B	T0185A.C	T0185A.D	T0185A.E	T0185A.F	T0185A.G	T0185A.H	T0185A.I	T0185A.J
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0	0.0	0.0	0.0	0.03938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14385	0.0	0.0	0.0	0.12148	0.04695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07879	0.0	0.0	0.0	0.01704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16607	0.10347	0.0	0.0	0.0	0.0	0.0	0.07031	0.0	0.23702	0.0	0.0	0.0	0.0	0.07919	0.14671	0.0	0.0	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.22803	0.0	0.09222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01625	0.0	0.07117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58753	0.2358	0.34008	0.22217	0.0	0.0	0.0	0.0	0.0	0.0	0.14009	0.05134	0.33635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06485	0.13778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09303	0.0	0.07536
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.0	0.0	0.0	0.0	6.98023	5.1077	0.6432	0.70364	2.49047	4.75264	0.0	0.0	1.47967	3.64568	0.59806	1.39429	0.86123	1.86483	0.0	0.0	5.12706	2.30098	0.69139	0.86254	1.30045	0.47964	0.28668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.534	0.15356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01054	1.02811	2.05798	7.04703	0.0	1.37942	0.2019	0.61316	0.0	0.68187	0.0	0.0	3.08445	0.0	0.0	0.0	0.0	0.0	0.58652	2.09202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17333	1.10789	2.35693	0.53022	0.79224	0.08544	0.0	0.0	0.0	0.0	0.0	0.0	1.07929	1.96143	1.54919	1.62737	0.21892	1.84174	0.14256	0.0	0.0	0.0	2.10726	2.36787	0.56846	0.5049	0.06782	2.53509	0.30327	1.11127	5.76514	0.5039	1.36404	2.26712	0.41321	0.3073	0.43442	0.0	0.0	0.74902	0.46533	0.9159	0.9695	3.31962	1.21899	1.13648	0.25821	0.0	0.0	0.0	0.0	0.4447	1.19987	1.36121	2.36908	0.30032	0.24032	0.35841	0.0	0.0	0.0	0.0	0.0	0.93035	0.4015	0.73436	0.32279	0.36667	0.12181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.0	0.0	0.0	0.0	2.41962	2.64393	39.24483	38.40927	30.10722	54.54825	0.0	0.0	0.0	0.0	31.76914	33.31679	20.35193	4.03271	0.0	0.0	0.0	0.0	28.50987	34.67897	12.34767	17.7223	18.02466	0.0	12.36491	33.15295	1.47737	13.27933	53.28679	45.41268	7.58608	5.47919	53.63049	0.0	0.0	14.26845	9.53934	17.05401	59.83304	0.27911	53.10928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45103	0.36389	0.00506	0.0	0.42723	0.57561	0.58735	0.45687	0.41192	0.32065	0.00455	0.0	0.0	0.0	0.0	0.0	0.0	16.85561	33.21002	8.74526	43.2444	0.0	0.0	0.0	0.0	0.0	0.0	73.78967	59.32926	3.66842	52.9372	0.0	35.56189	17.21867	15.49112	14.61614	57.0151	55.52713	61.30124	0.0	0.0	0.0	0.0	0.0	6.95939	10.45073	64.71496	41.11275	65.27846	0.0	0.0	0.0	0.0	0.0	47.50736	54.75095	36.8663	72.30635	26.37383	22.8199	0.0	0.0	0.0	0.0	0.0	0.0	65.27437	57.71506	58.66748	35.69856	35.83702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.0	0.0	0.0	0.0	1.14629	0.42622	2.58663	0.0	0.73987	0.0	0.0	0.0	0.0	0.0	5.22146	4.59483	5.78229	3.44903	0.0	0.0	0.0	0.12995	5.01279	4.59726	3.39826	2.88319	2.09384	0.00457	0.0	0.0	0.0	0.0	0.0	0.0	0.18943	2.2325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62318	0.0	6.04553	0.79607	6.98654	11.86259	6.56327	6.77239	1.73016	3.72447	0.0	0.0	1.8601	1.25699	1.03317	1.61744	0.41232	1.68325	2.06201	2.56839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65885	34.24382	0.0	0.72047	6.89124	5.06405	0.0	0.0	0.0	3.72841	1.59224	0.0	0.0	0.0	0.0	0.0	0.0	1.7123	0.58556	0.21069	0.35527	0.0	0.0	0.0	0.0	0.0	0.0	3.94921	1.03547	0.2343	0.64455	0.0	1.66798	6.76754	27.61727	8.49907	0.08105	2.03308	0.94475	0.0	0.0	0.0	10.92155	15.91301	31.16814	15.6918	0.4872	1.00463	0.76164	0.0	0.0	0.0	0.0	0.0	9.39998	0.00346	0.01953	1.77165	0.72895	28.42501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57596	1.41376	4.08748	3.66559	0.0	0.0	0.0	0.0	13.19114	1.77406	2.35543	0.49236	6.15139	2.49726
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.0	0.0	0.0	0.0	0.06822	0.44441	0.00455	0.0	0.7534	0.0	0.0	0.0	0.0	3.4465	0.59445	1.43813	5.45557	8.61203	0.0	3.68275	1.22703	0.80571	0.44463	0.48369	1.3891	0.70404	3.02051	0.0	0.0	0.0	0.0	0.02936	0.13528	0.23607	0.13614	0.0	0.0	0.0	0.0	0.0	0.0	2.26772	0.34934	0.23953	0.09994	0.0	0.0	0.0	0.0	0.0	0.0	0.69618	0.0	0.17929	0.0	0.0	0.0	0.0	0.0	0.09591	0.6487	0.14099	0.19845	0.17409	0.0	0.0	1.55303	1.4378	0.03484	0.0	0.0	0.02178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47344	6.47611	0.25673	0.22952	0.95869	0.0	0.0	0.0	0.0	0.02345	0.40754	1.48679	3.3536	1.84768	2.68885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3591	0.66183	2.44708	0.0	0.0	0.0	0.0	6.94026	0.28894	0.87414	1.73654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54226	1.61439	1.3041	0.0	0.0	0.0	0.03323	0.01644	0.01803	0.0	0.0	0.0	0.03904	0.90497	0.0	0.0	0.0	0.0	4.11909	3.61279	0.0	0.0	0.0	0.02946	0.01791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07892	0.0356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0	0.0	0.0	0.0	0.03938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14385	0.0	0.0	0.0	0.12148	0.04695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07879	0.0	0.0	0.0	0.01704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16607	0.10347	0.0	0.0	0.0	0.0	0.0	0.07031	0.0	0.23702	0.0	0.0	0.0	0.0	0.07919	0.14671	0.0	0.0	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.22803	0.0	0.09222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01625	0.0	0.07117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58753	0.2358	0.34008	0.22217	0.0	0.0	0.0	0.0	0.0	0.0	0.14009	0.05134	0.33635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06485	0.13778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09303	0.0	0.07536
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.0	0.0	0.0	0.0	6.98023	5.1077	0.6432	0.70364	2.49047	4.75264	0.0	0.0	1.47967	3.64568	0.59806	1.39429	0.86123	1.85854	0.0	0.0	5.12706	2.30098	0.69139	0.86254	1.30045	0.47964	0.28668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.534	0.15356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01054	1.02811	2.05798	7.04703	0.0	1.37942	0.2019	0.61316	0.0	0.68187	0.0	0.0	3.08445	0.0	0.0	0.0	0.0	0.0	0.58652	2.09202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17333	1.10789	2.35693	0.53022	0.79224	0.08544	0.0	0.0	0.0	0.0	0.0	0.0	1.07929	1.96143	1.54919	1.62737	0.21892	1.84174	0.14256	0.0	0.0	0.0	2.10726	2.36787	0.56846	0.5049	0.06782	2.53509	0.30327	1.11127	5.76514	0.5039	1.35051	2.25179	0.41321	0.3073	0.43442	0.0	0.0	0.74902	0.46533	0.9159	0.9695	3.31798	1.21057	1.13648	0.25821	0.0	0.0	0.0	0.0	0.4447	1.19987	1.36121	2.36908	0.30032	0.24032	0.35841	0.0	0.0	0.0	0.0	0.0	0.93035	0.4015	0.73436	0.32279	0.36667	0.12181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.0	0.0	0.0	0.0	2.41962	2.64393	39.24483	38.40927	30.10722	54.54825	0.0	0.0	0.0	0.0	31.76914	33.31679	20.35193	4.03271	0.0	0.0	0.0	0.0	28.50987	34.67897	12.34767	17.7223	17.9992	0.0	12.36491	33.15295	1.47737	13.27933	53.28679	45.41268	7.58608	5.47919	53.63049	0.0	0.0	14.26845	9.53934	17.05401	59.83304	0.27911	53.10928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.85561	33.21002	8.74526	43.2444	0.0	0.0	0.0	0.0	0.0	0.0	73.78967	59.32926	3.66842	52.9372	0.0	35.56189	17.21867	15.48776	14.61614	57.0151	55.52713	61.30124	0.0	0.0	0.0	0.0	0.0	6.95939	10.45073	64.71496	41.11275	65.27846	0.0	0.0	0.0	0.0	0.0	47.50736	54.75095	36.8663	72.30635	26.37383	22.8199	0.0	0.0	0.0	0.0	0.0	0.0	65.27437	57.71506	58.66748	35.69856	35.83702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas	0.0	0.0	0.0	0.0	2.36086	2.73606	0.51108	0.0	0.80238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39864	0.63565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66224	0.45365	0.26453	0.00155	0.0	0.0	0.0	0.0	0.0	1.23713	1.08651	0.0	0.03831	0.0	0.0	0.0	0.0	0.0	0.79014	1.16853	1.35837	0.45821	0.78338	0.0	0.0	0.0	0.0	0.0	1.1954	0.0728	0.11645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53129	0.92272	0.19186	0.302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44826	1.42239	0.10235	0.0	0.0	0.16024	0.0	0.04193	0.0	0.0	0.0	3.57743	1.35815	0.95038	0.0	0.03599	0.20919	0.48283	0.04905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.0	0.0	0.0	0.0	1.14629	0.42622	2.58663	0.0	0.73987	0.0	0.0	0.0	0.0	0.0	5.22146	4.59483	5.78229	3.44903	0.0	0.0	0.0	0.12995	5.01279	4.59726	3.39826	2.88319	2.09384	0.00457	0.0	0.0	0.0	0.0	0.0	0.0	0.18943	2.2325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62318	0.0	6.04553	0.79607	6.98654	11.86259	6.56327	6.77239	1.73016	3.72447	0.0	0.0	1.8601	1.25699	1.03317	1.61744	0.41232	1.68325	2.06201	2.56839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65885	34.24382	0.0	0.72047	6.89124	5.06405	0.0	0.0	0.0	3.72841	1.59224	0.0	0.0	0.0	0.0	0.0	0.0	1.7123	0.58556	0.21069	0.35527	0.0	0.0	0.0	0.0	0.0	0.0	3.94921	1.03547	0.2343	0.64455	0.0	1.66798	6.76754	27.61727	8.49907	0.08105	2.03308	0.94475	0.0	0.0	0.0	10.92155	15.91301	31.16814	15.6918	0.4872	1.00463	0.76164	0.0	0.0	0.0	0.0	0.0	9.39998	0.00346	0.01953	1.77165	0.72895	28.42501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57596	1.41376	4.08748	3.66559	0.0	0.0	0.0	0.0	13.19114	1.77406	2.35543	0.49236	6.15139	2.49726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	0.0	0.0	0.0	0.0	0.19712	0.43833	0.0	0.0	0.04336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25957	0.0	0.03561	0.02199	0.18505	0.0	0.0	0.0	0.0	0.0	0.0	0.22366	0.06432	0.0	0.23618	0.0	0.0	0.11852	0.01509	0.0	0.00538	0.0	0.0	0.0	0.0	0.08899	0.16453	0.03574	0.0	0.01028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified	0.0	0.0	0.0	0.0	0.121	0.17772	0.01427	0.0	0.01517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0.0	0.0	0.0	0.0	0.06822	0.44441	0.00455	0.0	0.7534	0.0	0.0	0.0	0.0	3.4465	0.59445	1.43813	5.45557	8.61203	0.0	3.68275	1.22703	0.80571	0.44463	0.48369	1.3891	0.70404	3.02051	0.0	0.0	0.0	0.0	0.02936	0.13528	0.23607	0.13614	0.0	0.0	0.0	0.0	0.0	0.0	2.26772	0.34934	0.23953	0.09994	0.0	0.0	0.0	0.0	0.0	0.0	0.69618	0.0	0.17929	0.0	0.0	0.0	0.0	0.0	0.09591	0.6487	0.14099	0.19845	0.17409	0.0	0.0	1.55303	1.4378	0.03484	0.0	0.0	0.02178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47344	6.47611	0.25673	0.22952	0.95869	0.0	0.0	0.0	0.0	0.02345	0.40754	1.48679	3.3536	1.84768	2.68885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3591	0.66183	2.44708	0.0	0.0	0.0	0.0	6.94026	0.28894	0.87414	1.73654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54226	1.61439	1.3041	0.0	0.0	0.0	0.03323	0.01644	0.01803	0.0	0.0	0.0	0.03904	0.90497	0.0	0.0	0.0	0.0	4.11909	3.61279	0.0	0.0	0.0	0.02946	0.01791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07892	0.0356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.0	0.0	0.0	0.0	0.03938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14385	0.0	0.0	0.0	0.12148	0.04695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07879	0.0	0.0	0.0	0.01704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16607	0.10347	0.0	0.0	0.0	0.0	0.0	0.07031	0.0	0.23702	0.0	0.0	0.0	0.0	0.07919	0.14671	0.0	0.0	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.22803	0.0	0.09222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01625	0.0	0.07117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58753	0.2358	0.34008	0.22217	0.0	0.0	0.0	0.0	0.0	0.0	0.14009	0.05134	0.33635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06485	0.13778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09303	0.0	0.07536
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.0	0.0	0.0	0.0	5.82793	3.51207	0.38563	0.70364	2.35247	4.75264	0.0	0.0	1.47967	3.64568	0.59806	1.39429	0.86123	1.85854	0.0	0.0	5.12706	2.30098	0.69139	0.86254	1.30045	0.47964	0.28668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47083	0.15356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01054	1.02811	2.05798	7.04703	0.0	1.37942	0.2019	0.61316	0.0	0.68187	0.0	0.0	3.08445	0.0	0.0	0.0	0.0	0.0	0.58652	2.09202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07929	1.96143	1.54919	1.62737	0.21892	1.84174	0.14256	0.0	0.0	0.0	2.10726	2.36787	0.56846	0.5049	0.06782	2.53509	0.30327	1.11127	5.53406	0.35431	1.25015	2.11813	0.41321	0.30117	0.39297	0.0	0.0	0.74902	0.2968	0.9159	0.93031	3.22035	1.21057	1.13648	0.23539	0.0	0.0	0.0	0.0	0.0	1.19987	1.36121	2.36365	0.30032	0.24032	0.35841	0.0	0.0	0.0	0.0	0.0	0.86135	0.4015	0.73436	0.32279	0.36667	0.12181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.0	0.0	0.0	0.0	2.41962	2.64393	39.24483	38.40927	30.10722	54.54825	0.0	0.0	0.0	0.0	31.76914	33.31679	20.35193	4.03271	0.0	0.0	0.0	0.0	28.50987	34.67897	12.34767	17.7223	17.9992	0.0	12.36491	33.15295	1.47737	13.27933	53.28679	45.41268	7.58608	5.47919	53.63049	0.0	0.0	14.26845	9.53934	17.05401	59.83304	0.27911	53.10928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.85561	33.21002	8.74526	43.2444	0.0	0.0	0.0	0.0	0.0	0.0	73.78967	59.32926	3.66842	52.9372	0.0	24.85907	6.79427	2.94215	7.7094	13.39011	27.77739	43.3445	0.0	0.0	0.0	0.0	0.0	0.0	2.79862	37.93746	21.91172	47.64852	0.0	0.0	0.0	0.0	0.0	47.50736	54.75095	36.8663	72.30635	26.37383	22.8199	0.0	0.0	0.0	0.0	0.0	0.0	65.27437	57.71506	58.66748	32.0341	32.97516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
